control_number;id;group;text;condition;sentence;translation
1;C00;Pilot;Text2;SE;11;Das Hauptproblem bei dieser Analyse ist es, dass Daten häufig für Standardindikatoren (z.B. niedriges Einkommen - hohe Kosten) nicht verfügbar sind in einigen Ländern und dadurch neue Arten von energiebewussten Kunden entdeckt werden müssen.
2;C00;Pilot;Text2;SE;12;Darüber hinaus die Unterschiede zwischen den verfügbaren Daten innerhalb der Länder der EU führen zu oft inkompatiblen Kundensegmentationen in den Herkunftsländern.
3;C00;Pilot;Text2;SE;13;Um dieses Problem zu überwinden, ist es wichtig, den Hintergrund zu definieren, 
4;C21;Pilot;Text2;ELF;6;Solche Berater sind spezifisch darauf trainiert, diese Pilot-Projekte zu unterstützen, indem sie Vc's helfen, durch Anderungen im Verhalten, ihre Energiekonsumation zu verringern.
5;C21;Pilot;Text2;ELF;7;"In diesem Projekt, das E.C.R. Institut ist dafür verantwortlich, die HEA'""s vorzubereiten und die Pilot Aktionen zu planen."
6;C21;Pilot;Text2;ELF;8;Diese Arbeit beschreibt die erwten Resultate der eben erwähnten Aufgaben.
7;C21;Pilot;Text2;ELF;9;Der erste Teil der Arbeit beschreibt die Resultate einer staistischen Analyse, die helfen soll, zu versteen, wie man 
8;C22;Pilot;Text2;SE;5;In diesem  Sinne hat das Projekt (gegründet von der EU Kommision unter Grant Einstimmu Nr. 12345), von der der das Energie Verbrauchs Institut ein Partner ist, sich als Ziel gesetzt, die besten Uebungen und Vorschläge zu finden, die den Energieverbrauch betreffen.
9;C22;Pilot;Text2;SE;6;Dies geschieht d
10;C23;Pilot;Text2;ELF;6;Solche Berater sind speziell trainiert, die Pilot-Aktionen durch Erziehung der Energie-verletzlichen Konsumenten (VCs) zu optimieren (und, nach Möglichkeit, zu reduzieren), hauptsächlich durch Verhaltensänderungen.
11;C23;Pilot;Text2;ELF;7;Das Energy Consumption Research Institute ist im Projekt verantwortlich für das technische Training der HEAs und die Planung der Pilot-Aktionen. 
12;C23;Pilot;Text2;ELF;8;Dieser Artikel präsentiert die ersten Resultate der oben erwähnten Aufgaben. 
13;C23;Pilot;Text2;ELF;9;Der erste Teil des Artikels fasst die Resul
14;C24;Pilot;Text2;ELF;2;"Energie '"" ist eine der hauptsächlichrn sozialen, technischen und rechtlichen Probleme der modernen Zeit in Europa mit einer geschätzten Zahl von  bis  Millionen betroffener Leute."
15;C24;Pilot;Text2;ELF;4;Einer der Punkte, welche der EC sehr wichtig sin
16;C25;Pilot;Text2;SE;2;Die Energie Armut ist eine von den zentralen sozialen, technischen und rechtlichen Problemen in der heutigen Zeit in Europa, mit der Zahl an Betoffenen welche von  to  Millionen reicht.
17;C25;Pilot;Text2;SE;3;Die European Commissiom (EC) hat viel investiert in die Lösung dieses Problems, wie zum Beispiel mit der erst kürzlich lancierten Eu Energy Poverty Observatory in January 2018.
18;C25;Pilot;Text2;SE;4;Ein dringender Punkt von der EC ist das Lernen durch Erfahrung und das Verbreiten der besten Praktiken in eine breite Anzahl Staaten.
19;C25;Pilot;Text2;SE;5;Mit diesem Gedanken (funded by the EU Commission under Grant Argeement no. 12345
20;C26;Pilot;Text2;ELF;6;Solche Ratgeber werden speziell trainiert um Pilot-Projekte zu implementieren durch das aussbilden von energie-schwachen Konsumenten (VCs) um deren Energiekonsum zu optimieren(und falls möglich zu reduzieren), hauptsächlich durch Verhaltensänderungen.
21;C26;Pilot;Text2;ELF;7;In dem Projekt ist das Energy Consumption Research Institure zuständig für das technische Training der HEAs und der Planung des Pilot-Projekts.
22;C26;Pilot;Text2;ELF;8;Dieses Paper sammelt die ersten Resultate der obenerwähnten Aufgaben.
23;C26;Pilot;Text2;ELF;9;Der erst Teil dieses Papers fasst die Resultzate aus den statistischen Analysen
24;C27;Pilot;Text2;ELF;2;Energiearmut ist eines der grössten sozialen, technischen und gesetzlichen Probleme in der heutigen Zeit in Europa, mit einer errechneten Nummer von betroffenen Personen zwischen 50 und 125 Millionen.
25;C27;Pilot;Text2;ELF;3;Die European Commission (EC) hat viel Aufwand investiert, um dieses Problem zu lösen, gezeigt zum Beispiel durch den Start der EU Energy Poverty Observatory im Januar 2018.
26;C27;Pilot;Text2;ELF;4;Ein von der EC betonter Punkt ist die Wichtigkeit, von Erfahrungen und guten Praktiken, die in den Members states (MS) ausgeführt werden, zu lernen.
27;C27;Pilot;Text2;ELF;5;Mit diesem Aspekt im Hintergrund hat das project (bezahlt durch die EU Commission unter Grant Agreement n. 12345), wovon das Energy Consumpton Research Institute ein Partner ist, das Ziel, einige gute Praktiken und Ratschläge von der Implementation einer R
28;C28;Pilot;Text2;SE;2;Energiearmut ist das Hauptproblem für Europa mit geschätzt 50 bis 125 Millionen betroffenen.
29;C28;Pilot;Text2;SE;3;Die Europakommission wendet grosse Astrengungen an dieses Problem zu lösen. Beispielsweise durch das EU Energy Poverty Oservatory, welches Im Januar 2018 gestartet wurde.
30;C28;Pilot;Text2;SE;4;Die EC betont die Wichtigkeit des Lernens durch Erfahrung und Anwendungen der besten Methoden der verschiedenen Mitgliedstaaten.
31;C28;Pilot;Text2;SE;5;das Projekt, welches durch die E
32;C29;Pilot;Text2;ELF;2;Energiearmut ist eine der sozial, technischen und rechtliche Hauptprobleme in Gegenwärtige Europa, mit einer geschätzten Nummer von  betroffenen Personen zwischen  fünfzig bis hundertfu
33;C29;Pilot;Text2;ELF;3;Die Europäische Kommision (EC) hat viel unternommen, um dieses Problem zu lösen, wie beispielsweise bereits gezeigt, beim kürzlichen Lancieren der EU Energy Poverty Obeservatory im Januar Zweitauendachtzehn.
34;CE0;TraMa;Text2;SE;2;Energiearmut ist heute eines der sozialen, technischen und legislativen Hauptthemen in Europa und betrifft laut Schätzungen zwischen  50 und 125 Millionen Menschen.
35;CE0;TraMa;Text2;SE;3;The Europäische Kommission setzt viel daran, das Thema anzugehen, wie beispielsweise der kürzlich lancierte EU Energy Poverty Observatory im Januar 2018 zeigt.
36;CE0;TraMa;Text2;SE;4;Unter anderem hebt die EC die Relevanz von Lernen aus Erfahrung und von positiven Beispielen hervor, das in zahlreichen Mitgliedsstaaten (MS) umgesetzt wird.
37;CE0;TraMa;Text2;SE;5;Vor diesem Hintergrund versucht das hier erwähnte Projekt (von Der EU-Kommission
38;CE1;TraMa;Text2;SE;7;Diese Berater wurden extra für die Einsetzung der Pilotmassnahmen ausgebildet. Diese Massnahmen umfassen Beratung energieknapper Konsumenten bezüglich der Optimierung und allfälliger Reduktion ihres Energieverbrauchs. Dies geschieht hauptsächlich durch Verhaltensänderungen.
39;CE1;TraMa;Text2;SE;8;In diesem Projekt ist das Energy Consumption Research Institute für die technische Einweisung der HEAs und für die Planung der Pilotmassnahmen zuständig.
40;CE1;TraMa;Text2;SE;9;In diesem Paper werden die ersten Ergebnisse dieser beiden Aufgaben präsentiert.
41;CE1;TraMa;Text2;SE;10;Im ersten Teil werden die Ergebnisse einer
42;CE2;TraMa;Text2;SE;2;Energiearmut ist mit geschätzten 50 bis 125 Millionen Betroffenen aktuell eines der sozialen, technischen und legislativen Hauptprobleme in Europa.
43;CE2;TraMa;Text2;SE;3;Die Europäische Kommission (EC) hat einen grossen Aufwand für Lösungen für das Problem investiert, beispielsweise mit der Lancierung des EU Energy Poverty Observatory im Januar 2018.
44;CE2;TraMa;Text2;SE;4;Eines der zentralen Punkte für die EC war die Wichtigkeit
45;CE3;TraMa;Text2;ELF;2;Mit einer geschätzten Anzahl betroffener Personen von 50 bis 125 Millionen ist Energieknappheit eines der Hauptprobleme im sozialen, technischen und legislativen Bereich der heutigen Zeit in Europa.
46;CE3;TraMa;Text2;ELF;3;Die Europäische Kommission (EC) hat viel Effort in die Lösung dieses Problems gesteckt. Sie hat beispielsweise kürzlich die EU Energy Poverty Obervatory im Januar 2018 lanciert.
47;CE3;TraMa;Text2;ELF;4;Einer der von EC genannten Punkte ist die Wichtigkeit, von den Erfahrungen und Best Pracices in verschiedenen Mitgliedstaaten (MS) zu lernen.
48;CE4;TraMa;Text2;SE;2;Energiearmut ist eines der Hauptprobleme im sozialen, technischen und legislativen Bereich in Europa zu dieser Zeit. Die Anzahl Menschen, die betroffen sind, wird von 50 bis 125 Millionen geschätzt.
49;CE4;TraMa;Text2;SE;3;Die europäische Komission (EK) beschäftigt sich intensiv damit, dieses Problem zu lösen. Die neuliche Lancierung des E
50;CE5;TraMa;Text2;SE;8;In diesem Projekt ist das Energy Comsumption Research Institute für das technische Training der HEAs und die Planung der Pilotprojekte zuständig.
51;CE5;TraMa;Text2;SE;9;Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.
52;CE5;TraMa;Text2;SE;10;"Der erste Teil dieses Artikels fasst die Resultate der statistischen Analyse zusammen, die durchgeführt wurde, um ""energy-poor"" oder ""energy-vulnerable"" Kosumenten zu definieren, da keine einheitliche europäische Definition existiert."
53;CE5;TraMa;Text2;SE;11;Die grösste Schwierigkeit, die sich bei der Durchführung dieser Analyse ergibt, ist, das
54;CE6;TraMa;Text2;SE;8;In diesem Projekt ist das Energy Consumption Research Institute verantwortlich für die technische Ausbildung der HEAs und für die Planung der Pilotaktionen.
55;CE6;TraMa;Text2;SE;9;Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.
56;CE6;TraMa;Text2;SE;10;"Der erste Teil des Papers fasst die Ergebnisse einer statistischen Analyse zusammen, die ""energiearme"" oder ""energiegefährdete"" Konsumenten definieren sollte, da eine gemeinsame europäische Definition nicht existiert."
57;CE6;TraMa;Text2;SE;11;Die grösste Hürde bei dieser Analyse ist, dass die Daten, die oft als Standardindikatoren genutzt werden (z.B. geringes Einkommen hohe Kosten), in vielen Ländern nicht verfügbar sind, weswegen neue Wege für eine Definition energiegefährdeter Konsumenten 
58;CE7;TraMa;Text2;SE;9;Dieses Schreiben präsentiert die Ergebnisse der beiden Aufgaben.
59;CE7;TraMa;Text2;SE;10;"Der erste Teil der Arbeit fasst die Ergebnisse der  statistischen Analyse, die durchgeführt wurde, um ""energiearm"" und ""energygefährdet"" zu definieren, zusammen, da keine allgemeine, für ganz Europa geltende Definition existiert."
60;CE7;TraMa;Text2;SE;11;Das grösste Hindernis bei der Durchführung dieser Analyse ist es, dass die Daten, die häufig für Standardindikatoren (bsp. niedriges einkommen, hohe Kosten), in vielen Ländern nicht verfügbar sind, sodass neue Methoden, um Energygefährdete Konsumenten zu definieren, gefunden werden müssen.
61;CE7;TraMa;Text2;SE;12;Des weiteren führen die Unterschiede zwischen den in den EU-Ländern verfügbaren Daten zu fragmentierten und oft inkompatiblen Segmentierungen der Konsumenten in den Mitgliedsstaaten.
62;CE7;TraMa;Text2;SE;13;Um dieses Hindernis zu überwinden, ist es nötig, den Hintergrund zu ergründen, vor dem die Pliotmassnahmen angewendet werden sollen (d.h. die analyse der Situationen in den Mitgliedstaaten) und eine zielgerichtete Marktsegmentation durchzuführen, indem existierende Datenbanken analysiert und verbessert werden, auf die 
63;CE8;TraMa;Text2;ELF;2;Energiearmut stellt eine der grössten gesellschaftlichen, technischen und rechtlichen Herausforderungen im gegenwärtigen Europa dar. Gemäss Schätzungen sind rund 50 bis  125 Millionen Menschen in Europa von Energiearmut betroffen.
64;CE8;TraMa;Text2;ELF;3;Die European Commission (EC) hat grosse Anstrengungen unternommen um dieses Problem zu lösen. Dies wird durch die Bildung der EU Energy Poverty Observatory im Januar  2018 sichtbar.
65;CE8;TraMa;Text2;ELF;4;Einer der wichtigen Punkte ist es, von der Erfahrungen von anderen Teilnehmerstaaten zu lernen, die dieses Programm eingeführt und getestet haben. 
66;CI0;TraPro;Text2;SE;2;Energiearmut ist eines der grössten sozialen, technischen  und gesetzgeberischen Probleme des heutigen Europa. Die Zahl der betroffenen Personen wird auf 50 bis 125 Millionen geschätzt.
67;CI0;TraPro;Text2;SE;3;Die Europäische Kommision (EC) setzt sich stark für die Lösung dieses Problems ein, beispelsweise mit dem jüngsten Start des Eu Energy Poverty Observatory im Januar 2018.
68;CI0;TraPro;Text2;SE;4;Einer der von der EC 
69;CI1;TraPro;Text2;SE;5;Vor diesem Hintergrund verfolgt das (von der EU Commission im Sinne des Grant Agreement Nr. 12345 finanzierte) Projekt, an dem das Energy Consumption Research Institute beteiligt ist, das Ziel, Best Practices und Empfehlungen zur Minderung der Energiearmut bekanntzugeben.
70;CI1;TraPro;Text2;SE;6;Hierfür wird gemeinsam mit einer Beratergruppe, den sogenannten HEAs (Home Energy Advisors
71;CI2;TraPro;Text2;ELF;2;Energiearmut ist eine der grundlegenden sozialen, technischen und rechtlichen Herausforderungen in Europa heutzutage. Das Problem betrifft schätzungsweise  50 bis 125 Millionen Menschen.
72;CI2;TraPro;Text2;ELF;3;Die European Commission (EC) hat schon viel Arbeit darin investiert, dieses Problem zu lösen. Das zeigt sich am Beispiel des kürzlich gegründeten EU Energy Poverty Observatory im Januar 2018.
73;CI2;TraPro;Text2;ELF;4;"EC betont insbesondere, dass es wichtig sei, von den Erfahrungen und ""best practices"" der verschiedenen Members states (MS) zu lernen."
74;CI2;TraPro;Text2;ELF;5;Das
75;CI3;TraPro;Text2;ELF;2;Energiearmut ist eines der grössten sozialen, technischen uns legislativen Probleme im heutigen Europa, mit einer geschätzten Anzahl Betroffener zwischen  50 und 125 Millionen.
76;CI3;TraPro;Text2;ELF;3;Die Europäische Kommission (EK) hat viel Mühe darauf verwendet, dieses Problem zu lösen, was sich beispielsweise durch die Lancierung des EU Energy Poverty Observatory im Januar  2018 zeigt.
77;CI3;TraPro;Text2;ELF;4;Einer der Punkte, welcher von der EK betont wird, ist die Wichtigkeit, von den Erfahrungen und besten Praktiken in den verschiedenen Mitgliedsstaaten zu lernen.
78;CI3;TraPro;Text2;ELF;5;Auf dieser Grundlage beabsichtigt das Pro
79;CI4;TraPro;Text2;SE;8;Bei diesem Projekt trägt das Enery Consuption Research Institute die Verantwortung für die technische Schulung der HEAs und für die Planung der Versuchsprojekte.
80;CI4;TraPro;Text2;SE;9;In diesem Dokument werden die ersten Ergebnisse dieser beiden Aufgabenstellungen vorgestellt.
81;CI4;TraPro;Text2;SE;10;"Im ersten Teil des Dokuments werden die Ergebnisse einer statistischen Analyse vorgestellt, die zum Ziel hatte, ""energiearme"" bzw. ""energiegefährdete"" Verbraucher zu definieren, da eine einheitliche Definition in Europa nicht existiert."
82;CI4;TraPro;Text2;SE;11;Das Haupthindernis bei der Durchführung der Analyse besteht darin, dass 
83;CM0;MulBa;Text2;ELF;8;Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben. 
84;CM0;MulBa;Text2;ELF;9;"Der erste Teil der Arbeit fasst die Resultate zusammen, die mit einer statistischen Analyse durchegührt worden sind, um zu verstehen, wie man ""energiearme"" oder ""energieverletzliche"" Konsumenten definieren kann, da eine allgemeine Definition noch nicht existiert. "
