T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
Der Einfluss sozialer Information auf das Verhalten wurde in einer Reihe von settings demonstriert.;;;
Zum Beispiel zeigt die Forschung, dass es Menschen ermutigt, ihr Energie- und Wasserverbrauch, ihr Beitrag an Wohltätigkeit, und ihre Sparentscheidungen zu verändern, wenn ihnen gesagt wird, wie ihre Taten mit denen von anderen, ähnliche;;;
;;;
;;;
;;;
;;;In dem Projekt ist das Energy Consumption Research Institute für das technische Training der HEA's und die Pilot Aktionsplanung verantwortlich.
;;;Diese Studie sammelt die ersten Resultate der oben erwähnten Aufgaben.
;;;"Der erste Teil der Studie fasst die Resultate einer statistischen Analyse zusammen, die durchgeführt wurde, um zu verstehen, wie eine ""energiearme"" oder ""energiegefährdete"" Konsumerschaft definiert werden kann, da eine allgemeine Europäische Definition nicht existiert."
;;;Das Hauptziel bei der Durchführung dieser Analyse ist, dass die Daten, welche oftmals für Standardindikatoren (z. B. Tiefes-Einkommen Hohe-Kosten) genutz werden,
