T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;Energie Armut ist eins der grössten sozialen, technischen und legalen Problemen in Europa in der heutigen Zeit, mit geschätzten 50 zu 125 Millionen Menschen die davon betroffen sind.;
;;Die Europäische Kommission (EC) hat viel Aufwand investiert zum dieses Problem zu läsen, wie man zum Beispiel  am neusten Projet EU Energy Poverty Observatory sehen kann, welches Januar 2018 startete.;
;;Ein wichtiger Punkt, der von der ECbetont wird, ist wie wichtig es ist von Erfahrungen zu lernen und von den besten Lösungsansätzen in verschiedenen Mitgliederstaaten(MS) zu  profitieren;
;;;
;;;
;;;
;;;
;;;
;Der HER liefert verschiedene Elemente, von einer vergleichenden Statischen energy Verbrauchs (deskriptive Norm), über Rückmeldungen wie gut der Einzelne abschneidet (injuktive Norm), bis zu wie man einfach Energie sparen kann.;;
;Das zweite Ziel des Papers ist es mögliche Mechanismen den HER effectiver zu machen zu testen.;;
;Als ersten testen wir ob der HER einen Einfluss auf ;;
