T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Energiearmut is eines der hauptsächlichen sozialen, technischen und legislativen Problemen der Gegenwart in Europe, mit einer Schätzung von betroffenen Personen von 50 bis 125 Millionen.
;;;Die Europäische Kommission (EK) hat viel Aufwand betrieben, um dieses Problem zu lösen, wie zum Beispiel mit dem kürzlichen Startschuss der Eu Energy Poverty Observatory im Januar 2018 gezeigt wurde.
;;;Einer der Punkte, die vom EC betont wurden ist die Wichtigkeit, von den Erfahrungen und besten Praktiken zu lernen, die in den verschiedenen Mitgliedstaaten (MS) ausgeführt werden.
;;;Dies im Hinterkopf, versucht das Projekt (von der EU Komission unter Grant Agreement .12345 gefördert), von welchem Energy Conmsuption Research ein Partner ist, die besten Prakiken und Empfehl
;;;
;;;
;;;
;;;
Das HER enthält verschiedene Elemente, einschliesslich eine statische Nachbarn-Vergleich von Energieverbrauch - Levels (eine deskriptive Norm), Rückmeldung zu individueller Leistung (eine injunktive Norm) sowie Energiespartipps.;;;
Ein weiteres Ziel dieses Artikels ist es, die möglichen Mechanismen einzuschätzen, die den HER effektiver machen.;;;
Zuerst testen wir ob der HER die Empfindung der Individuen von Normen in dem Raum der Energiesparens beeinflusst.;;;
Eine stärkere Empfindung der Norm, energie zu sparen, könnte da die Energiekonsum beeinflussen.;;;
Während Umweltwerte dazu tendiere, im Leben der Leute stabil zu bleiben, kann umweltbezogene Selbst-Identität beeinflusst werden, zum Beispiel von Information ;;;
