T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;Bei diesem Projekt trägt das Enery Consuption Research Institute die Verantwortung für die technische Schulung der HEAs und für die Planung der Versuchsprojekte.;
;;In diesem Dokument werden die ersten Ergebnisse dieser beiden Aufgabenstellungen vorgestellt.;
;HER liefert verschiedene Aspekte, angefangen bei einem statischen Vergleich zwischen Nachbarn zum Energieverbrauch (descriptive Norm), über Rückmeldungen darüber, wie gut ein Einzelner mitarbeitet (injunktive Norm), bis hin zu Energiespartipps.;"Im ersten Teil des Dokuments werden die Ergebnisse einer statistischen Analyse vorgestellt, die zum Ziel hatte, ""energiearme"" bzw. ""energiegefährdete"" Verbraucher zu definieren, da eine einheitliche Definition in Europa nicht existiert.";
;Die Arbeit hat ausserdem zum Ziel, mögliche Mechanismen auszutesten, um HER effizient zu machen.;Das Haupthindernis bei der Durchführung der Analyse besteht darin, dass ;
;Zunächst testen wir, ob durch HER die Wahrnehmung des Einzelnen;;
