T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;Um diese Schranke zu überwinden ist es notwendig, den Hintergrund, in welchem die Pilothandlungen eingebettet werdensollen (die Situation in den analysierten MS) zu definieren und eine absichtliche Segmentierung auszuführen, indem man schon existierende statistische Datenbanken analysiert und erstellt, zu welchen ähnliche Indikatoren verwendbar sind. Die Indikatoren  sollen kompatibel mit der vorhandenen Information sein.
;;;Der zweite Teil dieser Arbeit führt kurz das Traing ein, welches den HEAs vorgestellt werden wird, um die Kompetenzen aufzuzeigen, welche eine Voraussetzung für ein HEA sind, der einen vulnerablen Konsumenten oder eine vulnerable Familie nähern will und wie man diese kostruiert.
Während Werte betreffend der Umwelt eine Tendenz zur Stabilität im Leben von Leuten zeigen, kann das umweltbedingte bewusstein beeinflusst werden, wie zum Beispiel mit Information betreffend Energiesparen.;;;
Ein zweiter Mechanismus könnte daher sein, dass die Information, welche durch HER vermittelt wurde, die umweltbedingte Eigenidentität des Konsumenten steigert.;;;
Die HEr stärkt den Fokus des Konsumenten auf ;;;
