T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;Es macht dies, inden es eine Serie von Pilottätigkeiten mit einer Gruppe von Heas (Home Energy Advisors) implementiert. Pilotaktionen oben;
;;Diese Berater:innen wurden speziell geschult, um die Pilotaktionen zu implementieren, was die Schulung vulnerabler Konsument:innen beinhaltet, z.B. in der Optimierung und allenfalls Reduktion ihres Energieverbrauchs, und zwar vornhemlich durch Verhaltensänderungen.;
;In diesem Paper testen wir den Effekt solialen Vergleichens auf energiesparendes Verhalten und ob dieses davon abhängt, inwieweit einzelne Personen ein hohes Umweltbewusstsein haben.;In diesem Projekt zeichnet das ECRI verantwortlich für die technische Schulung der HE;
;Eine weitere entscheidende Forschungslücke ist das fehlendeVerständnis der Mechanimen hinter der Reaktion einzelner zum Opower Home Energy Report (HER) im Bereich Energieverbrauch.;;
;Der HER führt verschiedene Elemente auf, vom einem statischen Nachbarschaftsvergleich des Energievrbrauchs (deskriptive Norm) über Rückmeldungen zum individuellen Verhal;;
