T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;In diesem Projekt ist das Energy Consumption Research Institute verantwortlich für die technische Ausbildung der HEAs und für die Planung der Pilotaktionen.;
;;Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.;
;Der HER Report liefert verschiedene Elemente, von einem statischen Vergleich zwischen dem Energieverbrauch von Nachbarhaushalten (descriptive norm) über Rückmeldungen zur individuellen Performance (injunctive norm) bis hin zu Energiespartipps.;"Der erste Teil des Papers fasst die Ergebnisse einer statistischen Analyse zusammen, die ""energiearme"" oder ""energiegefährdete"" Konsumenten definieren sollte, da eine gemeinsame europäische Definition nicht existiert.";
;Ein zweites Ziel dieser Studie ist es, mögliche Mechanismen zu testen, die den HER Report effektiv machen.;Die grösste Hürde bei dieser Analyse ist, dass die Daten, die oft als Standardindikatoren genutzt werden (z.B. geringes Einkommen hohe Kosten), in vielen Ländern nicht verfügbar sind, weswegen neue Wege für eine Definition energiegefährdeter Konsumenten ;
;Zuerst testen wir, ob der HER Report die Eindrücke eines Individuums von der Norm im Bereich Energiesparen.;;
;Ein stärkerer Eindruck der Norm in Richtung;;
