T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Energiearmut ist gegenwärtig eines der grössten sozialen, technischen und legislativen Problemen Europas mit  50 bis 125 Millionen betroffenen.
;;;Die Europäische Kommission (EC) hat viel darin investiert, dieses Problem zu lösen. Dies zeigt zum Beispiel die kürzliche Lancierung der Beobachtungsinstitutions EU Energy Poverty Observatory im Januar 2018.
;;;Einen der Punkte, welche das EC hervorhebt, ist, wie wichtig es ist, von Erfahrungen und besten Praktiken der verschiedenen Mitgliedsstaaten (MS) zu lernen.
;;;
;;;
;;;
;;;
;;;
;;;
Ein weiteres Ziel dieses Berichts besteht darin, mögliche Mechanismen auszuwerten, wie HER wirksamer werden kann.;;;
Zuerst wurd getestet, ob der HER die Wahrnehmungen der Personen von Normen im Bereich der Energiekonservierung beeinflusst.;;;
Eine erhöhte Wahrnehmung der Norm, Energie zu sparen, könnte dann einen Einfluss auf den Energiekonsum haben.;;;
Während umweltbezogene Werte tendenziell stabil bleiben während einem Menschenleben, kann jedoch die umweltbezogenene Identität beeinflusst werden, zum Beispiel durch Information über Energiekonservierung.;;;
Ein zweiter Mechanismus könnte daher darin bestehen, dass die Information, die im HER dargebotn wird, die umweltbezogene Identität der Konsumenten beeinflusst.;;;
Indem biosphärische Werte aktiviert werden, stärkt der HER den Fokus der Konsumenten auf den Schutz der Umwelt.;;;
Die Analyse kombiniert Daten aus einem grossen zufallsgenerierten Programm, das ;;;
