T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Energiearmut ist eines der grössten sozialen, technischen uns legislativen Probleme im heutigen Europa, mit einer geschätzten Anzahl Betroffener zwischen  50 und 125 Millionen.
;;;Die Europäische Kommission (EK) hat viel Mühe darauf verwendet, dieses Problem zu lösen, was sich beispielsweise durch die Lancierung des EU Energy Poverty Observatory im Januar  2018 zeigt.
;;;Einer der Punkte, welcher von der EK betont wird, ist die Wichtigkeit, von den Erfahrungen und besten Praktiken in den verschiedenen Mitgliedsstaaten zu lernen.
;;;Auf dieser Grundlage beabsichtigt das Pro
;;;
;;;
;;;
Eine andere entscheidende Kluft in der Forschung ist das Verständnis der Mechanismen hinter den Reaktionen von Einzelpersonen auf Opowers Her in Bezug auf Energieverbrauch.;;;
Der HER enthält verschiedene Elemente, einschliesslich eines statischen Nachbarvergleichs von Energieverbrauchsstufen (eine deskriptive Norm), Feedback bezüglich individueller Leistung (eine Norm) sowie Energiespartipps.;;;
Ein weiteres Ziel dieses Berichts ist es, mögliche Mechanismen auszuarbeiten, mit denen der HER effizienter werden könnte.;;;
Zuerst testen wir, ob der HER die Wahrnehmung von Einzelpersonen bezüglich Normen im Bereich Energiesparen beeinflusst.;;;
Eine stärkere Wahrnehmung der Norm, Energie zu s;;;
