T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;Energiearmut ist eines der Hauptprobleme im sozialen, technischen und legislativen Bereich in Europa zu dieser Zeit. Die Anzahl Menschen, die betroffen sind, wird von 50 bis 125 Millionen geschätzt.;
;;Die europäische Komission (EK) beschäftigt sich intensiv damit, dieses Problem zu lösen. Die neuliche Lancierung des E;
;;;
;;;
;;;
;;;
;;;
;Des Weiteren wurde in der Forschung die Mechanismen hinter der individuellen Reaktion auf den Opower Home Energy Report (HER) im Bereich des Energieverbrauchs noch nicht genügend untersucht.;;
;Der HER besteht aus verschiedenen Bestandteilen: einen statischen Vergleich bezüglich des Energieverbrauchs mit den Nachbarn (deskriptive Norm), ;;
