T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;Der HER liefert verschiedene Elemente, von einem statischen Vergleich im Bereich Energieverbrauch (deskritpive Norm) über Informationen dazu, wie gut einzelne Personen sind (injunktive Norm) bis zu Energiespartips.;"Der erste Teil des Artikels fasst die Ergebnisse einer statistischen Untersuchung zusammen, die durchgeführt wurde, um die Begriffe ""energiearm"" oder ""energieempfindlich"" zu definieren, da es keine übergeordnete europäische Definition dafür gibt.";
;Ein zweites Ziel dieses Artikels ist  es, mögliche Mechanismen zu testen, die den HER wirksam machen.;Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die Daten, die oft für Standardindikatioren(z. B. Tiefes Einkommen, hohe  Kosten) in viele Ländern gar nicht verfügbar sind. Deshalb müssen neue Möglichkeiten erforscht werden, um den Begriff des energieempfindichen Verbrauchers zu definieren.;
;Zuerst testen wir, ob der HER die individuelle Wahrnehmung der Norm im Bereich Energiesparen verändert.;Zudem führen die Unterschiedein den Daten, die in EU-Ländern zur Verfügung stehen, zu fragmentierten und oft inkompatiblen Verbrauchersegmentierungen in den Mitgliedsländern.;
;Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen könnte dann den Energieverbrauch beeinflussen.;Um dieses Problem zu lösen, ist es nötig, einen Hintergrund zu definieren, gegen den die Pilotmassnahmen umgeset;
;Zweitens kann, während die Umweltwerte bei allen Menschen über ihr Leben eher gleich bleiben, die umweltbezogene Eigenidentität beeinflusst werden, beispielsweise über Informationen bezüglich Energiesparen.;;
;Ein zw;;
