T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;Energiearmut ist eines der grössten sozialen, technischen  und gesetzgeberischen Probleme des heutigen Europa. Die Zahl der betroffenen Personen wird auf 50 bis 125 Millionen geschätzt.;
;;Die Europäische Kommision (EC) setzt sich stark für die Lösung dieses Problems ein, beispelsweise mit dem jüngsten Start des Eu Energy Poverty Observatory im Januar 2018.;
;;Einer der von der EC ;
;;;
;;;
;;;
;;;
;;;
;;;
;Ein zweites Ziel dieser Arbeit ist das Testen von möglichen Menchanismen, um den HER wirksam zu machen.;;
;Zuerst wird getestet, ob der HER die Wahrnehmung der Norm durch die Einzelpersonen im Berich Energiesparen formt.;;
;Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen könnte den Energieverbrauch beeinflussen.;;
;Zweitens, während ökologische Werte im Leben aller stabil bleiben, kann die ökologische Selbstidentität beeinflusst werden, beispielsweise durch Information in Bezug auf das Energiesparen.;;
;Ein zweiter Mechanismus könnte folglich sein, dass die im HER gelieferte Information die ökologische Selbstidentität einer Person steigert.;;
;Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Personen zugunsten der Umwelt.;;
;Die Analyse kombiniert Daten aus einem grossen randomized Programm, das von Opower in Italien durchgeführt wurde und bei dem die Studiendaten von Energieverbrauchern gesammelt wurden.;;
;Die verfügbaren Energiedaten ;;
