T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;Energiearmut is eine der Hauptprobleme betreffend Sozialem, Technischem und Legislativem in der heutigen Zeit in Europa. Die geschätzte Anzahl Personen, die betroffen sind, beträgt zwischen 50 und 125 Millionen.;
;;Die European Commission (EC) hat grossen Aufwand betrieben, um dieses Problem zu lösen, wie zum Bespiel der kürzliche Launch des EU Energy Poverty Observatory im Januar 2018 gezeigt hat.;
;;Eine der Punkte, die die EC betont, ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in anderen Mitgliedsstaaten (MS) verwendet werden.;
;;Dies im Auge behaltend, zielt d;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;Zweitens, während Werte betreffend Umwelt dazu tendieren, bei allen während dem ganzen Leben stabil zu bleiben, kann die Umwelt-Selbstidentität beeinflusst werden, zum Beispiel, durch Informationen zum Energiesparen.;;
;Ein zweiter Mechanismus könnte deswegen die Informationen, die im HER geliefert werden sein, die die Umwelt-Selbstidentität erhöht.;;
;Der HER stärkt der Fokus der Leute auf die Verbesserung der Umwelt, indem er biosphärische Werte aktiviert.;;
;Die Analyse kombiniert Daten von einer grossen randomisierten Studie, die von Opower in Italien durchgeführt wurde, mit Daten einer Umfrage von ;;
