T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;"Das Hauptproblem bei der Analysefindung ist, dass die Daten of lediglich für Standardindikatoren verwendet werden (z.B. tiefes Einkommen hohe Kosten) und dass diese Indikatoren nicht in in vielen Ländern verfügbar sind. Deshalb braucht es neue Ansätze, wie ""energieverletzliche Konsumenten definiert werden können. "
Ein weiteres Ziel dieser Untersuchung ist, die möglichen Mechanismen  zu bewerten, mit welchen der HER wirksamer werden könnte.;;;"Zudem sind die unterschiedlichen, zur Verfügung stehenden Daten in EU-Ländern der Grund, weshalb eine fragmentierte und oft ""nicht kompatible"" Segmentierung in den verschiedenen Mitgliedstaaten geschieht. "
Erstens testen wir, ob der HER die individuelle Wahrnehmung von Normen im Bereich des Energiesparens beeinflusst. ;;;Um dieses Hinderhins zu überwinden, ist es notwendig, den Hintergrund zu definieren, hinter welchem die Pilotprojekte einbettet werden sollen (die Situation in den analysierten Mitgliedstaaten), und eine zweckdienliche Segmentierung vorzunehmen, indem die vorhandenen Statistikdaten analysiert und ausgewertet werden, welche ähnliche Indikatoren anwenden und kompatible sind mit den vorhandenen Inforationen. 
Eine stärkere Wahrnehmung der Norm, Energie zu sparen, kann dann den Energieverbrauch beeinflussen.;;;Der zweite Teil d
Werte bezüglich der Umwelt bleiben mehr oder weniger gleich während unseres Lebens, aber die Selbstidentität betreffend Umwelt kann beeinflusst werden, so zum Beispiel durch Informationen über Energieverbrauch.;;;
Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, die der HER liefert, die Selbstidentität bezüglich Umwelt  bei den Konsumenten beeinflusst.;;;
Indem Werte im Bereich Biosphäre aktiviert werden, stärkt der HER den Fokus des Konsumenten auf die Vorteile der Umwelt.;;;
Diese Analyse kombinier;;;
