T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;Solche Berater sind spezifisch dazu ausgebildet, die Pilotaktionen umzusetzen, indem sie Energiegefährdete Konsumenten (VCs) darin bilden, ihren Energieverbrauch zu optimieren (und möglicherweise zu reduzieren), hauptsächlich duch Veränderungen ihres Verhaltens.
Während das Sparverhalten von Leuten mit hohen biosphärischen Werten in der Literatur gut erfasst worden ist, ist wenig über die Reaktion dieser Konsumenten auf sozialen Vergleich bekannt.;;;Im Projekt ist das Energy Consumption Research Institute für die technische Ausbildung der HEAs und die Planung der Pilotaktionen zuständig.
In dieser Arbeit testen wir, ob es einen Effekt von sozialem Vergleich auf den Energieverbrauch gibt, und ob dieser Effekt vom Ausmass, in welchem Individuen ein hohes Umweltbewusstsein fördern, abhängig ist.;;;Diese Arbeit sammelt die ersten Resultate der oben genannten Aufgaben.
Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter die Reaktionen von Individuen auf Opowers HER im Bezug auf ihren Energieverbrauch.;;;"Der erste Teil der Arbeit fasst die Resultate einer für das Verständnis der Definition eines ""energiearmen"" oder """
Der HER b;;;
