T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;Der Einfluss sozialer Informationen auf menschliches Verhalten wurde inverschiedenen Situationen bewiesen.;;
;Untersuchungen zeigen, dass es zu Veränderungen bezügl. Energie- und Wasserverbauch, sowie Beiträgen zu wohltätigen Zwecken und Energiesparenden MaSsnahmen führt, Menschen aufzuzeigen, wie ihrhandeln imvergleich it anderen Menschen aussieht.;;
;Trotz des wachsenden Interesses an Untersuchungen zu sozialem Vergleich verbleiben zahlreiche offene Fragen.;;
;Es ist besonders wenig bekannt über die Ursprünge von Heterogenität imzuge eines bekannten Experiments zu sozialem Vergleich, wie etwa das von Dem  Opower-Programm durch den Home Exlectricity Report bereitgestellte.;;
;In dieser Arbeit gehen wir davon aus, dass umweltbezogene Werte eine wichtige Quelle von Heterogenität infolge des Opower-Gruppenvergleichs darstellt.;;
;Während das Sparvehalten von Leuten mit hohen biospherischen Werten bereits zu genüge in der Literartur behandelt wurde, ist relativ wenig über die Reaktion dieser Individuen zu Gruppenvergleichen bekan;;
;;;
;;Dieses Schreiben präsentiert die Ergebnisse der beiden Aufgaben.;
;;"Der erste Teil der Arbeit fasst die Ergebnisse der  statistischen Analyse, die durchgeführt wurde, um ""energiearm"" und ""energygefährdet"" zu definieren, zusammen, da keine allgemeine, für ganz Europa geltende Definition existiert.";
;;Das grösste Hindernis bei der Durchführung dieser Analyse ist es, dass die Daten, die häufig für Standardindikatoren (bsp. niedriges einkommen, hohe Kosten), in vielen Ländern nicht verfügbar sind, sodass neue Methoden, um Energygefährdete Konsumenten zu definieren, gefunden werden müssen.;
;;Des weiteren führen die Unterschiede zwischen den in den EU-Ländern verfügbaren Daten zu fragmentierten und oft inkompatiblen Segmentierungen der Konsumenten in den Mitgliedsstaaten.;
;;Um dieses Hindernis zu überwinden, ist es nötig, den Hintergrund zu ergründen, vor dem die Pliotmassnahmen angewendet werden sollen (d.h. die analyse der Situationen in den Mitgliedstaaten) und eine zielgerichtete Marktsegmentation durchzuführen, indem existierende Datenbanken analysiert und verbessert werden, auf die ;
