T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Die Energiearmut ist eine der grössten sozialen, technischen und legislativen Herausforderung, mit welcher sich Europa heute konfrontiert sind. Man schätzt, dass 50 bis 125 millionen Menschen davon betroffen sind.
;;;Die European Commission (EC) hat durch die Lancierung des EU Energy Poverty Observatory in Januar 2018 gezeigt, wie viel Effort momentan in die Lösung dieses Problems investiert wird.
;;;Die EC betont allerdings wie wichtig es ist, von den Best Practices und den Erfahrungen der eigenen Mitgliedstaaten zu lernen. 
;;;Unter diesen Rahmenbedingungen v
;;;
;;;
In dieser Publikation wird erforscht, ob soziale Vergleiche das Energiesparen begünstigen, und ob dies von der Grundeinstellung zum Umweltschutz beeinflusst wird. ;;;
Eine weitere Frage, welche sich gestellt hat, ist was die Beweggründe des individuellen handelns als Reaktion auf die von Opower's HER hat. ;;;
Die HER enthält verschiedene Elemente. Dazu gehören Vergleiche zum Energieverbrauch der Nachbaren (eine deskriptive norm), feedback zur individuellen norm (eine injunktive Norm) sowie energiespartipps. ;;;
Ein weiteres Ziel dieses Artikels ist es potentielle Lösungsansätze zu bewerten;;;
