T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;Der Einfluss sozialer Informationen auf das Verhalten wurde bereits in verschiedenen Settings gezeigt.;;
;Forschungsergebnisse zeigen, dass Menschen ihren Energie- und Wasserverbrauch ändern, andere Beträge an Wohltätigkeitsorganisationen spenden und andere Entscheidungen im Bereich Sparen treffen, wenn man ihnen sagt, wie sie im Vergleich mit ihren Mitmenschen abschneiden.;;
;Trotz wachsendem Interesse an Forschung im Bereich sozialer Vergleich gibt es noch einige Fragen zu klären.;;
;Insbesondere über die Ursachen der Heterogenität im Kontext  e;;
;;;
;;Diese Berater wurden extra für die Einsetzung der Pilotmassnahmen ausgebildet. Diese Massnahmen umfassen Beratung energieknapper Konsumenten bezüglich der Optimierung und allfälliger Reduktion ihres Energieverbrauchs. Dies geschieht hauptsächlich durch Verhaltensänderungen.;
;;In diesem Projekt ist das Energy Consumption Research Institute für die technische Einweisung der HEAs und für die Planung der Pilotmassnahmen zuständig.;
;;In diesem Paper werden die ersten Ergebnisse dieser beiden Aufgaben präsentiert.;
;;Im ersten Teil werden die Ergebnisse einer;
