T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Energiearmut ist eines der Hauptprobleme  Europas sowohl sozial, technologisch wie auch gesetzlich mit einer Anzahl von geschätzt 50 bis 125 Millionen betroffenen Menschen.
;;;Die Europäische Kommission (EC) hat sich grosse Mühen gemacht, dieses Problem zu lösen wie gezeigt wurde. Beispielsweise mit dem kürzlichen Start des EU Energy Poverty Observatory im Januar 2018.
;;;Einer der speziell dargelegten Punkte vom EC ist die Wichtigkeit von den Erfahrungen und Anwenungen, die in verschiedenen Mitgliedstaaten (MS) angewendet werden, zu lernen.
;;;M
;;;
;;;
;;;
;;;
;;;
Ein weiteres Ziel dieserArbeit ist es, mögliche Mechanismen auszutesten um das HER noch effektiver zu machen.;;;
Zuerst testen wir ob HER die Wahrnehmung von Normen eines Individuums im Feld der Energie... beeinflusst.;;;
Eine stärkere Wahrnehmung der Energiesparnormen dürfte dann den Energieverbrauch beeinflussen.;;;
Während Umweltwerte während eines Lebens stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden wie beispielsweise durch Informationen bezüglich der Energies;;;
