T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;Dieses Paper präsentiert die ersten Ergebnisse dieser beiden Aufgaben.;
;Der HER umfasst verschiedene Elemente, von einem statischen Vergleich mit Nachbarn im Hinblick auf den Energieverbrauch (deskriptive Norm) bis hin zu Rückmeldungen, wie gut Einzelne abschneiden (injunktive Norm), und Tipps zum Energiesparen.;"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgeführt wurde, um ""energiearm"" oder ""energie-vulnerable"" VerbraucherInnen zu definieren, da es keine europäische Definition gibt.";
;Ein zweites Ziel dieses Papers ist das Testen möglicher Mechanismen, die den HER effektiv machen.;Das Haupthdernis bei dieser Analyse besteht darin, dass die Daten, die oft für Standard-Indkatoren (z.B. niedriges Einkommen - hohe Kosten) für viele Länder nicht zur Verfügung stehen, daher mussten neue Wege erkundet werden, um energie-vulnerable KonsumentInnen zu definieren.;
;Zuerst testen wir, ob der HER die individuelle Wahrnehmung der Norm auf dem Gebiet des Energiesparens beeinflusst.;Darüber hinaus führen die Unterschiede in den jeweis in den EU-Staaten verfügbaren Daten zu bruchstückhaften und oft inkompatiblen Verbrauchersegmentationen in den Mitgliedsstaaten.;
;Eine stärkere Wahrnehmung der Norm in Richtung Energiesparen hat möglicherweise einen Einfluss auf den Energieverbrauch.;Um diese Hürde zu beseitigen, ist es notwendig, den Hintergrund, vor dem die Pilotprojekte umgesetzt werden sollen (die Situation in den jeweiligen ;
;Zweitens, während äussere Werte im Lauf des Lebens meist stabil bleiben, kann die umweltbezogene Selbstidentität beeinflusst werden, zum Beispiel durch Informationen zum Energiesparen.;;
;Ein zweiter Mechanismus ist also vielleicht, dass die im HER gelieferten Informationen die umweltbezogene Selbst-Identität erh;;
