T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;In diesem Projekt ist das Energy Comsumption Research Institute für das technische Training der HEAs und die Planung der Pilotprojekte zuständig.;
;Eine weitere Forschungslücke stellt das Verständnis der Mechanismen hinter der Reaktion von Personen auf den Opower Home Energy Report (HER) im Bereich Energienutzung dar.;Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.;
;Der HER beinhaltet verschiedene Elemente, von einem statischen Vergleich zwischen Nachbarn in Hinblick auf deren Energienutzung (deskriptive Norm), über Feedbacks, wie gut die einzelnen Personen abschneiden (injunktive Norm), bis hin zu Tipps zum Energiesparen.;"Der erste Teil dieses Artikels fasst die Resultate der statistischen Analyse zusammen, die durchgeführt wurde, um ""energy-poor"" oder ""energy-vulnerable"" Kosumenten zu definieren, da keine einheitliche europäische Definition existiert.";
;Ein weiteres Ziel dieses Artikels ist es, die mö;Die grösste Schwierigkeit, die sich bei der Durchführung dieser Analyse ergibt, ist, das;
