T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;Verantwortlich für das technische Training der HEAs and der Pilotactionplanung ist im Projekt das Energy Consumption Research Institut.
;;;Diese Studie sammelt die ersten Resultate der oben genannten Aufgaben.
Eine weitere wichtige Lücke in der Literatur bildet da Verstehen von den Mechanismen der Reaktionen der Individuen auf das HER von Opower in Bezug auf ihre Energieverbrauch.;;;"Der erste Teil der Studie fasst die Resultate der statistischen Analyse zusammen, welche durchgeführt wurde, um zu definieren, wer als ""energiearm"" oder ""energieverletzlich"" gilt, da es keine allgemeingültige Definition in Europa dafür gibt."
Das HER beinhaltet verschiedene Elemente, insbesondere einem statischen Nachbar-Energieverbrauch-Systems (eine deskriptive Norm), Rückmeldung der individuellen Leistung (eine injunktive Norm), sowie Energiespartipps.;;;"Das grösste Hindernis beim Durchführen dieser Analyse ist, dass die Daten, welche häufig als Standardindikatoren verwendet werden ( bspw. Tiefes-Einkommen, Hohe-Kosten), in vielen Ländern fehlen. Dadruch müssen neue Wege zur Bestimmung eines ""energie-verletzlichen-Ko"
Ein weiteres Anliegen dieser Studie ist es, mögliche Mechanismen zu bestimmen, welche das HER effektiver machen können. ;;;
Zunächst, testen wir ob das HER die Wahrnehmung der Normen des Einzelnen beeinflusst im Bereicht der Energiekonservation.;;;
Eine stärkere Wahrnehmung der Norm Energie zu konservieren könnte dann die En;;;
