T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
Die Influenz von sozialen Informationen auf das Verhalten wurde in verschiedenen Einstellungen demonstriert.;;;
Zum Beispiel indizieren Versuche, dass bei Leuten denen gesagt wird, wie sie sich mit vergleichbaren Menschen schlagen, die Leute ihre Energie und Wasserkonsum, ihre Kontribution zu Spende-Zwecken und Ihre Spar-Entscheidungen verbessernn.;;;
Trotz einem wachsendem Interesse in Sozialen Vergleich Versuchen, bleiben aber viele Fragen offen.;;;
Speziell ist relativ wenig;;;
;;;
;;;
;;;Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben.
;;;Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse, die ausgefuert wurde um zu verstehen wie ein EnergieArmer oder Energie-verletzbarer Konsument definiert wird, zusammen, da keine geminsame Europaeische Defintion besteht.
;;;"Der Hauptteil bei dieser Analyse ist, dass Daten, die oft fuer standard Indikatoren genommen werden (z.B. tiefes Einkommen, Hohe Kosten) in vielen Ländern nicht erhältlich sind, also müssen neue Wege, wie ein ""energie-verletzlicher Konsument"" zu verstehen ist, untersucht werden."
;;;Zusätzlich führt die Erhältlichkeit von verschiedenen Daten in den EU Ländern zu einer r
