T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;Energiearmut ist eines der wichtigsten sozialen, technischen und rechtlichen Probleme im heutigen Europa mit einer Zahl von betroffenen Menschen die von 50 bis zu 125 Millionen steigt.
;;;Die Europeam Commission (EC) hat viel Aufwand für die Bewältigung diese Problems betrieben, wie zum Beispiel die Gründung des EU Energy Poverty Observatory im Januar 2018.
;;;Ein wichtiger Punkt, den die EC oft erwähnt, ist die Wichtigkeit von Erfahrungen und Best-Practice-Beispielen von anderen Member States (Ms
;;;
;;;
;;;
;;;
Eine weitere wichtige Lücke besteht beim Verständnis der Mechanismen der Reaktionen von einzelnen Individuen in Zusammenhang mit ihrem Energieverbrauch.;;;
Die HER besteht aus verschiedenen Elementen. Es zieht folgende Elemente mit ein: einen statischen Nachbarsvergleich des Energieverbrauchs (eine deskriptive Norm), Rückmeldung zu individuellen Leistungen (eine injunktive Norm) und Tipps zum Energie;;;
