T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Vielzahl von Settings aufgezeigt.;;;
Die Forschung deutet beispielsweise daruf hin, dass Menschen, wenn man ihre Handlungen mit denen anderer, ähnlicher Menschen vergleicht, zu ermutigt werden, ihren Strom- und Wasserverbauch, ihre Beiträge an wohltätige Zwecke sowie ihre Sparentscheide zu;;;
;;;
;;;
;;;
;;;In dem Projekt ist das Energy Consumption Research Institute verantwortlich für die Ausbildung der HEAs sowie für die Planung der Pilotversuche.
;;;Die vorliegende Arbeit sammelt die ersten Ergebnisse der zuvor erwähnten Aufgaben.
;;;"Der erste Teil der Arbeit fasst die Ergebnisse einer statistischen Analyse zusammen, die durchgefhrt wurde, um zu verstehen, wie ein ""energiearmer"" oder ""energiegefährdeter"" Verbraucher zu definieren ist, da eine allgemeine europäische Definition nicht existiert."
;;;Die grösste Hürde bei der Durchführung dieser Analyse besteht darin, dass die in der Regel für Standardindikatoren (z.B. nie
