T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;Solche Berater sind spezifisch darauf trainiert, diese Pilot-Projekte zu unterstützen, indem sie Vc's helfen, durch Anderungen im Verhalten, ihre Energiekonsumation zu verringern.
;;;"In diesem Projekt, das E.C.R. Institut ist dafür verantwortlich, die HEA'""s vorzubereiten und die Pilot Aktionen zu planen."
In dieser Arbeit testen wir, ob es einen Effekt von sozialem Vergleich auf die Energieersparnisse gibt und ob dieser Effekt  abhängig ist von den Umweltwerten der Individuen.;;;Diese Arbeit beschreibt die erwten Resultate der eben erwähnten Aufgaben.
Eine andere wichtige Lücke in der Forschung ist das Verstehen von den Mechanismen hinter den Reaktionen der Individuen gegenüber der HER wenn man ihren Energieverbrauch in Betracht zieht.;;;Der erste Teil der Arbeit beschreibt die Resultate einer staistischen Analyse, die helfen soll, zu versteen, wie man 
The HER beinhaltet verchiedene Elemente, unter Anderem eine statische Nachbarverleich von Energieverbrauchlevels (eine deskriptive Norm), Rückmeldungen über individuelles Verhalten (eine injunktive Norm), sowie Tips zur Energiesparnis.;;;
Ein weiteres Thema dieser Arbeit besteht darin, mögliche Mechanismen, das HER effizienter zu machen, zu finden.;;;
