T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;Der Einfluss sozialer Information auf das Verhalten ist in vielen verschiedenen Settings aufgezeigt worden.;;
;Die Forschung zeigt, dass Personen ihren Energie- und Wasserverbrauch, ihren Beitrag zu gemeinnützigen Zwecken und ihre Entscheide in Bezug auf Einsparungen anpassen, wenn ihnen aufgezeigt wird, inwiefern sich ihr Verhalten von dem anderer unterscheidet.;;
;Trotz eines wachsenden Interesses an sozialer Vergleichsforschung bleiben einige offene Fragen bestehen. ;;
;;;
;;;
;;;
;;;
;;;
;;;
;;Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die daten, die oft als Standardindikatoren genutzt werden (z. B. niedriges Einkommen hohe Kosten), für viele Länder nicht verfügbar sind. Dadurch müssen neue Wege gefunden werden, um energiegefährdete Nutzer zu definieren.;
;;Darüber hinaus führen die Unterschiede in den Daten, die für EU-Länder zur Verfügung stehen, zu einer fragmentierten und oft inkompatiblen Nutzer-Segmentation in den Mitgliedsstaaten.;
;;Um dieses Hindernis zu überwinden, muss der Hintergrund definiert werden, vor dem die Pilot-Massnahmen eingeführt werden (die Situation in den analy;
