T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;Die Hauptschwierigkeit bei der Durchführung dieser Analyse besteht darin, das die Daten, welche für Standardindikatoren (z. B. Tiefes Einkommen Hohe Kosten) nötig sind, in vielen Ländern nicht verfügbar sind, so dass neue Wege gefunden werden müssen, um eine Defintion für energieschwache Konsumenten zu finden.;
;;Zusätzlich führen die Unterschiede in den Daten aus den EU-Ländern zu fragmentieren und oft unvergleichbarer Konsumentenssegmentierungen in den Mitgliedsstaaten.;
;Eine stärkere Wahrnehmung der Norm in Richtung Energieeinsparung kann dann den Energieverbrauch beeinflussen.;Um dieses Hindernis zu umgehen, ist es wichtig, den Hintergrund vor dem die Versuchsaktionen eingesetzt werden werden, zu definieren (die Situation im untersuchten Mitgliedsstaat) und eine gezielte Marktsegmentierung anhand einer Analyse und Verbesserung existierender Datenbanken durchzuführen, so dass ähnliche und vergleichbare Indikatoren angwendet werden können.;
;Zweitens bleiben umweltbezogene Einstellungen während des Lebens mehrheitlich stabil, während umweltbezogene Selbstidentität beeinflusst werden kann, beispielsweise durch Informationen über den Energieverbrauch.;Der zweite Teil des Papers fasst kurz das den HEAs angebotene Training zusammen, ;
;Ein zweiter Mechanismus könnte deshalb sein, dass die Informationen, welche während dem HER zugeführt werden, die eigene umweltbezogene Selbstidentität verstärkt.;;
;Durch das Aktivieren von biosphärischen Werten kann der HER den Fokus von Menschen darauf ausrichten, die Umwelt zu verbessern.;;
;Die Analyse kombiniert Daten aus einem randomisierten Programm, welches von Opower in Italien durchgeführt wurde, mit Umfragedaten, welche von Endvebrauchern gesammelt wurden.;;
;Die verfügbaren Daten aus der Nutzung zeigt auf, ob eine Person die sozialen Informationen durch den Home Energy Report erhält, die Frequenz und die Art der sozialen Information, der Umgang der Kunden damit und der Energieverbrauch.;;
;Die Umfragedaten beinhalten Messungen zu um;;
