T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;;
;;;
;;;
;;;
;;;
;;;Das Energy Consumption Research Institute ist in diesem Projekt verantwortlich für die technische Ausbildung der HEAs und die Planung der Pilotaufgaben.
;;;Dieses Paper sammelt die ersten Resultate der oben genannten Aufgaben.
Eine weitere wichtige Lücke in der Forschung ist das Verständnis der Mechanismen hinter den individuellen Reaktionen auf Opower's HER betreffend Ihres Energieverbrauchs.;;;"Der erste Teil des Papers fasst die Resultat einer statistischen Analyse zusammen, die durchgeführt wurde, um den Begriff ""energy poor"" oder ""energy vulnerable"" Konsument richtig zu deuten, da eine einheitliche europäische Definition nicht existiert."
HER beinhaltet verschiedene Elemente, inklusive einem statischen Nachbarsvergleich von Energieverbauchsleveln (eine deskriptive Norm), Feedback auf individuelle Handhabung (eine injunktive Norm), sowie Energiespartipps.;;;"Die grösste Herausforderung bei der Durchführung diese Analyse bestand darin, dass Daten oft für Standardangaben (z.B. Tiefes Einkommen Hohe Kosten) nicht in allen Ländern vorhanden sind. So mussten neue Wege gefunden werden, um """
Ein weiteres Ziel dieses Papers ist es, mögliche Mechanismen auszuwerten, um HER effektiver zu gestalten.;;;
Zuerst testen wir, ob HER die individuelle Wahrnehmung von Normen im Bereich von Energieverbrauch formt.;;;
Eine stärkere Wahrnehmung der Norm, um Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.;;;
W;;;
