T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
;;Energiearmut ist heute eines der sozialen, technischen und legislativen Hauptthemen in Europa und betrifft laut Schätzungen zwischen  50 und 125 Millionen Menschen.;
;;The Europäische Kommission setzt viel daran, das Thema anzugehen, wie beispielsweise der kürzlich lancierte EU Energy Poverty Observatory im Januar 2018 zeigt.;
;;Unter anderem hebt die EC die Relevanz von Lernen aus Erfahrung und von positiven Beispielen hervor, das in zahlreichen Mitgliedsstaaten (MS) umgesetzt wird.;
;;Vor diesem Hintergrund versucht das hier erwähnte Projekt (von Der EU-Kommission;
;;;
;;;
;;;
;;;
;;;
;Ein zweites Ziel der Arbeit ist das Testen möglicher Mechanismen, die zur Wirkung von HER beitragen.;;
;Als Erstes testen wir, ob HER die individuelle Wahrnehmung einer Norm bezüglich Energie sparen beeinflusst.;;
;Eine bewusstere Wahrnehmung einer Norm im Zusammenhang mit Energie sparen könnte den Energieverbrauch beeinflussen.;;
;Weiter kann die umweltbezogene Selbstwahrnehmung im Gegensatz zu den umweltbezogenen Werten, die eher stabil sind, beeinflusst weden, beispielsweise durch Informationen im Zusammenhang mit ;;
