T1_SE_translated;T1_ELF_translated;T2_SE_translated;T2_ELF_translated
;;;
Die Auswirkung von gesellschaftlicher Information über das Verhalten wurde in verschiedenen Settings demonstriert.;;;
Zum Beispiel haben Untersuchungen gezeigt, dass sich die Einstellung gegenüber Energie- und Wasserverbrauch, Spenden und Sparverhalten verändert, sobald man mit ähnlichen ;;;
;;;
;;;
;;;
;;;In diesem Projekt ist das Energy Consumption Research Institut für das technische Training der HEAs und der Planung der Pilot-Aktionen zuständig.
;;;Diese Arbeit sammelt die ersten Resultate der oben aufgeführten Aufgaben.
;;;Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse zusammen, welche durchgeführt wurde, um di Definition von energieschwachen und energiestarken Konsumern zu verstehen (da eine europäische Definition nicht existiert).
;;;Das grösste Problem 
